top-left-square class
top-middle-square bottom-left-square class
top-right-square bottom-middle-square class
middle-left-square top-right-square class
middle-middle-square bottom-left-square class
middle-right-square top-left-square class
bottom-left-square middle-right-square class
bottom-middle-square top-left-square class
bottom-right-square middle-left-square class

negative negative 0.574328531148
positive positive 0.930406014529
positive positive 0.830626958624
negative negative 0.574100751733
positive positive 0.907136272856
positive negative 0.541356198581
positive positive 0.924795753690
positive positive 0.582769640626
positive positive 0.902689931614
negative positive 0.641394549113
positive positive 0.566148553083
positive positive 0.923110946320
positive positive 0.930876212919
positive positive 0.514561732027
positive negative 0.731347412034
negative positive 0.665868465248
positive positive 0.872407881468
positive positive 0.660701651733
negative negative 0.834842607212
positive positive 0.745512256910
negative negative 0.547472630980
negative negative 0.742832344964
positive negative 0.590564227272
positive negative 0.579969592496
negative negative 0.587845773292
positive positive 0.822672213256
negative negative 0.608305507036
positive positive 0.825005963364
negative negative 0.618212469982
negative negative 0.630977725690
positive positive 0.800831489447
positive positive 0.502848643139
positive negative 0.552668837556
positive positive 0.943566229751
positive negative 0.616210520636
negative negative 0.655678155360
positive positive 0.665888448317
negative negative 0.618133845007
positive positive 0.717432937979
negative negative 0.749432011712
positive positive 0.546240627826
positive negative 0.760454211130
negative negative 0.522750319705
positive positive 0.903980188471
positive positive 0.893145250833
positive positive 0.569379608662
negative negative 0.722133955469
negative positive 0.759555650706
negative negative 0.519162447605
positive negative 0.689213105805
negative negative 0.531303495739
positive positive 0.907379632689
positive negative 0.740979057796
positive positive 0.913434833115
positive positive 0.848640238233
negative negative 0.566936551216
positive positive 0.755542851675
positive positive 0.900293996796
positive positive 0.747972165953
negative positive 0.569231431674
positive positive 0.738479632482
positive positive 0.813776620548
negative negative 0.531084122063
negative positive 0.797776860239
positive positive 0.790027620936
negative negative 0.735890831347
positive positive 0.893404028560
negative positive 0.659798594198
positive positive 0.782846176368
positive positive 0.950160090834
positive positive 0.923365998561
negative negative 0.603963741664
negative negative 0.710362292536
positive positive 0.806656290642
positive positive 0.759167160752
positive positive 0.860114478514
positive positive 0.888833312289
positive positive 0.945890687611
positive positive 0.603778770655
positive positive 0.768984555695
positive positive 0.630296233978
positive positive 0.839675222465
positive positive 0.945107006294
positive positive 0.936976717583
positive positive 0.552865821627
positive positive 0.897378520426
positive negative 0.697071635718
positive positive 0.708900472013
positive positive 0.953634045772
positive positive 0.853566286655
negative negative 0.663458967046
positive positive 0.941163545410
negative negative 0.921793128796
positive positive 0.712030791870
positive positive 0.788689737107
negative negative 0.911074347427
positive negative 0.686869118946
positive positive 0.708816668110
positive positive 0.856288901388
negative positive 0.847747718545
positive positive 0.664138787553
positive positive 0.944670148778
negative negative 0.586452604483
positive positive 0.915635275478
negative positive 0.664093528371
positive positive 0.771897095011
negative negative 0.699530910949
positive positive 0.815044861116
negative negative 0.634535454227
positive positive 0.884738731174
positive positive 0.848348894840
positive negative 0.765419624158
positive positive 0.848786228193
negative positive 0.677168807049
negative positive 0.675132518618
positive positive 0.909221144391
positive positive 0.549864773142
positive negative 0.649700481065
positive negative 0.584593674204
positive positive 0.762352463660
positive positive 0.858812319443
positive negative 0.759190092934
negative negative 0.856497697936
negative negative 0.717559345259
positive positive 0.870207061335
positive positive 0.863953802135
positive positive 0.925657018945
positive positive 0.875206948375
positive negative 0.751668507180
positive negative 0.670611037558
negative negative 0.690152589960
positive positive 0.882229462499
negative negative 0.602268958542
positive positive 0.811200220103
positive positive 0.965493542305
negative negative 0.703889573946
positive positive 0.913650029795
positive positive 0.967945830782
negative negative 0.568216502031
positive negative 0.555414809701
positive positive 0.863806150790
positive positive 0.752829719536
positive positive 0.530662431771
positive negative 0.593949182516
positive positive 0.816230160281
positive positive 0.726956930393
positive positive 0.678944861859
negative negative 0.781867816865
positive positive 0.762778876898
positive positive 0.915133021919
positive positive 0.953480645386
negative negative 0.900686950871
positive negative 0.763831958333
positive positive 0.601208882210
positive positive 0.733322290414
negative negative 0.566745206963
positive positive 0.966016232704
positive negative 0.656403107507
positive positive 0.879773521415
positive positive 0.962925603646
positive positive 0.779477088458
positive negative 0.691020967412
positive positive 0.846356903870
negative positive 0.608863265504
positive negative 0.591318792527
negative negative 0.635761015173
positive positive 0.603426729770
positive positive 0.793162895221
negative negative 0.689234045387
positive negative 0.867622968696
positive positive 0.833244559638
positive positive 0.911613807713
negative negative 0.686323931552
positive negative 0.832737115121
negative negative 0.591511595108
negative positive 0.571661760623
positive negative 0.701971040667
positive positive 0.928212614042
positive positive 0.813842396009
positive negative 0.715546403666
negative negative 0.664594614290
negative positive 0.606746858982
positive negative 0.757523553642
positive positive 0.887211739205
negative negative 0.809567020612
negative negative 0.785242776101
positive positive 0.826708734442
positive positive 0.732802519771
positive positive 0.652892223874
positive positive 0.939052447714
positive positive 0.847707308096
positive positive 0.890571563089

151

